Регион,НПЗ,"Первичная переработка нефти и конденсата, млн т/год","Глубина переработки, %","Выход светлых нефтепродуктов, %",Индекс Нельсона,"Автомобильный бензин, млн т","Дизельное топливо, млн т","Керосин, млн т","Нафта, млн т","Мазут, млн т","Прочее, млн т",ИК
Астраханская область,Астраханский ГПЗ,2.0383,81.0,,,0.9389,0.544,0.0,0.0,0.3322,0.0,66.98670460678015
Волгоградская область,Волгограднефтепереработка,14.4,92.3,71.6,6.9,1.7298,3.8994,0.9882000000000001,0.0,1.1156,0.0,35.791111111111114
Иркутская область,Ангарская НХК,9.6,76.47,63.3,4.55,2.2,2.6,0.0,0.0,0.0,1.9,27.5
Кемеровская область,Яйский НПЗ,3.0,58.1,,1.0,0.0,1.1425,0.0,0.0,1.2275,0.0,150.82500000000002
Краснодарский край,Афипский НПЗ,5.78,55.6,,1.0,0.0,2.2,0.0,0.0,2.5,0.0,158.99653979238755
Краснодарский край,Ильский НПЗ,2.87,52.2,,1.0,0.0,0.2,0.0,0.0,1.3,0.0,159.9303135888502
Краснодарский край,Краснодарэконефть,3.0,55.0,,1.8,0.0,0.4908,0.0237,0.0,0.7477,0.0,90.74066666666668
Краснодарский край,РН-Туапсинский НПЗ,11.0,67.4,50.5,1.21,3.316,0.0,0.0,2.248,3.565,1.801,173.6918181818182
Красноярский край,Ачинский НПЗ,6.3,70.4,56.0,3.6,0.977,2.212,0.086,0.182,1.751,0.839,125.35555555555555
Ленинградская область,Ерватэе Усть-Луга,6.67,99.6,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ленинградская область,Киришинефтеоргсинтез,20.5,81.0,53.9,,2.5326,6.3858999999999995,0.6334,0.0,7.6838,0.0,139.57931707317076
Московская облатссь,Московский НПЗ,9.37,80.3,55.1,7.27,2.6893000000000002,2.0923000000000003,0.6441,0.0,2.935,0.0,119.03009605122735
Нижегородская область,Нижегороднефтеоргсинтез,15.5,76.6,63.7,7.4,3.4155,3.7641999999999998,0.5895,0.0,4.5714,0.0,111.42670967741937
Омская область,Омский НПЗ,20.5,90.6,70.92,8.5,4.4375,6.2729,1.6859000000000002,0.0,1.5967,0.0,38.01243902439025
Оренбургская область,Орскнефтеоргсинтез,5.53,72.2,,4.8,0.8,1.6,0.3,0.0,1.5,0.0,103.79746835443039
Пермский край,Пермнефтеоргсинтез,12.4,96.4,68.0,9.4,1.3304,4.0361,0.6232000000000001,0.0,1.556,0.0,53.00983870967742
Республика Башкортостан,Газпроснефтехим Салават,6.5,84.3,,6.7,0.7814,1.6004,0.0,0.0,0.9148,0.0,55.38492307692307
Республика Башкортостан,Ново-Уфимский НПЗ,18.9,81.9,66.0,8.93,3.767,7.232,0.305,0.53,3.125,1.931,83.82592592592594
Республика Коми,Ухтанефтепереработка,2.3,74.6,52.5,3.8,0.489,0.9582999999999999,-0.0006,0.0,1.0691,0.0,173.14043478260868
Республика Марий Эл,Марийский НПЗ,1.5,84.4,,1.7,0.0,0.0969,0.0,0.0,0.24669999999999997,0.0,58.85533333333333
Республика Татарстан,ТАИФ-НК,8.3,71.9,,5.2,0.6,2.2,0.1,0.0,2.3,0.0,103.3734939759036
Республика Татарстан,ТАНЕКО,8.66,74.1,,7.2,0.0,1.4,0.0,0.0,2.2,0.0,92.14780600461894
Ростовская область,Новошахтинский ЗНП,3.2,97.8,,1.2,0.0,0.0,0.0,0.0,0.0434,0.0,4.746875
Рязанская область,Рязанская НПК,13.3,70.7,57.8,5.27,3.033,3.381,0.997,0.25,3.821,1.444,124.78270676691731
Самарская область,Куйбышевский НПЗ,5.2,65.4,58.1,5.5,0.789,1.618,0.0,0.491,1.693,0.225,144.90384615384616
Самарская область,Новокуйбышевский НПЗ,8.1,73.9,55.1,4.2,1.397,2.603,0.348,0.018,1.943,0.859,104.44691358024693
Самарская область,Сызранский НПЗ,5.9,76.2,57.2,5.27,1.081,2.054,0.0,0.175,1.339,0.972,110.63389830508474
Саратовская область,Саратовский НПЗ,5.8,79.4,50.8,4.0,0.945,1.796,0.0,0.176,1.116,1.529,107.59827586206897
Тюменская область,Антипинский НПЗ,8.1,50.1,,2.3,0.0,1.9174,0.0,0.0,4.0025,0.0,177.68185185185192
ХМАО,Сургутский ЗСК,3.2441,88.0,,,1.5936,0.7411,0.15580000000000002,0.0,0.0,0.0,10.921981443235413
Хабаровский край,РН-Комсомольский НПЗ,6.4,89.2,64.0,2.19,0.548,2.592,0.298,0.682,0.656,1.543,91.64999999999999
Хабаровский край,Хабаpовский НПЗ,4.2,74.2,,4.7,0.5,0.8,0.2,0.0,1.0,0.0,89.76190476190477
ЯНАО,Уренгойский ЗПКТ,0.31260000000000004,100.0,,,0.0,0.0625,0.0116,0.0,0.0,0.0,5.1119641714651305
ЯНАО,Ямбургская установка,0.032600000000000004,100.0,,,0.0,0.023100000000000002,0.0,0.0,0.0,0.0,14.171779141104293
Ярославская область,Ярославнефтеоргсинтез,15.27,66.7,55.3,8.5,2.6,4.1,1.1,0.0,5.1,0.0,126.12966601178782
Ярославская область,Ярославский НПЗ (ЯНПЗ),0.13,61.4,,1.0,0.0,0.0,0.0,0.0,0.0474,0.0,127.61538461538461
