,,"Глубина переработки, %",Число НПЗ
Центральный,Федеральный округ,71.68333333333334,4
Сибирский,Федеральный округ,73.8925,4
Уральский,Федеральный округ,79.36666666666666,4
Приволжский,Федеральный округ,79.61666666666667,12
Дальневосточный,Федеральный округ,81.7,2
Южный,Федеральный округ,82.16250000000001,7
Северо-Западный,Федеральный округ,82.44999999999999,3
Астраханская область,Субъект федерации,81.0,1
Волгоградская область,Субъект федерации,92.3,1
Иркутская область,Субъект федерации,76.47,1
Кемеровская область,Субъект федерации,58.1,1
Краснодарский край,Субъект федерации,57.55,4
Красноярский край,Субъект федерации,70.4,1
Ленинградская область,Субъект федерации,90.3,2
Московская область,Субъект федерации,80.3,1
Нижегородская область,Субъект федерации,76.6,1
Омская область,Субъект федерации,90.6,1
Оренбургская область,Субъект федерации,72.2,1
Пермский край,Субъект федерации,96.4,1
Республика Башкортостан,Субъект федерации,83.1,2
Республика Коми,Субъект федерации,74.6,1
Республика Марий Эл,Субъект федерации,84.4,1
Республика Татарстан,Субъект федерации,73.0,2
Ростовская область,Субъект федерации,97.8,1
Рязанская область,Субъект федерации,70.7,1
Самарская область,Субъект федерации,71.83333333333333,3
Саратовская область,Субъект федерации,79.4,1
Тюменская область,Субъект федерации,50.1,1
Ханты-Мансийский автономный округ-Югра,Субъект федерации,88.0,1
Хабаровский край,Субъект федерации,81.7,2
Ямало-Ненецкий автономный округ,Субъект федерации,100.0,2
Ярославская область,Субъект федерации,64.05,2
