,Дата,Субъект федерации,Объем добычи нефти (тыс. Тонн),Объем добычи природного горючего газа (млн.куб.м.),Объем добычи газового конденсата (тыс. тонн),"Запасы нефти, млрд тонн","Запасы газа, трлн куб.м",Кратность запасов газа добыче,Кратность запасов нефти добыче
0,2018-01-01,Республика Адыгея,0,312,3,0.0,0.02,64.1,
1,2018-01-01,Республика Башкортостан,16291,32,0,0.5,0.07,2187.5,30.69
4,2018-01-01,Республика Дагестан,157,168,2,0.01,0.1,595.24,63.69
5,2018-01-01,Республика Ингушетия,51,0,0,0.01,0.09,inf,196.08
7,2018-01-01,Республика Калмыкия,160,44,0,0.02,0.05,1136.36,125.0
10,2018-01-01,Республика Коми,13909,1993,141,0.9,0.2,100.35,64.71
13,2018-01-01,Республика Саха (Якутия),10239,2127,119,0.7,3.1,1457.45,68.37
15,2018-01-01,Республика Татарстан,35795,0,0,1.1,0.0,,30.73
17,2018-01-01,Удмуртская Республика,10731,0,0,0.4,0.0,,37.28
19,2018-01-01,Чеченская Республика,117,4,0,0.02,0.02,5000.0,170.94
22,2018-01-01,Краснодарский край,904,2502,35,0.11,0.08,31.97,121.68
23,2018-01-01,Красноярский край,23178,3673,117,1.9,1.97,536.35,81.97
25,2018-01-01,Ставропольский край,855,196,1,0.1,0.05,255.1,116.96
29,2018-01-01,Астраханская область,5541,10786,3678,0.4,5.25,486.74,72.19
33,2018-01-01,Волгоградская область,2337,378,57,0.04,0.03,79.37,17.12
37,2018-01-01,Иркутская область,18002,437,63,1.0,4.91,11235.7,55.55
38,2018-01-01,Калининградская область,665,0,0,0.055999999999999994,0.0,,84.21
40,2018-01-01,Камчатский край,0,352,12,0.0,0.01,28.41,
42,2018-01-01,Кировская область,3,0,0,0.01,0.0,,3333.33
53,2018-01-01,Новосибирская область,198,0,0,0.03,0.0,,151.52
54,2018-01-01,Омская область,196,7,0,0.020821,0.000491,70.14,106.23
55,2018-01-01,Оренбургская область,20539,13087,208,1.0,0.77,58.84,48.69
57,2018-01-01,Пензенская область,86,0,0,0.017,0.0,,197.67
58,2018-01-01,Пермский край,15691,536,0,0.6,0.03,55.97,38.24
60,2018-01-01,Ростовская область,0,312,2,0.0,0.05,160.26,
62,2018-01-01,Самарская область,16446,0,0,0.6,0.0,,36.48
63,2018-01-01,Саратовская область,1416,1233,39,0.1,0.08,64.88,70.62
64,2018-01-01,Сахалинская область,2659,138,6,0.05,0.05,362.32,18.8
69,2018-01-01,Томская область,9860,2796,421,0.5,0.27,96.57,50.71
71,2018-01-01,Тюменская область,10911,0,0,0.5,0.01,inf,45.83
72,2018-01-01,Ульяновская область,715,0,0,0.1,0.0,,139.86
76,2018-01-01,г. Москва,0,634,107,,,,
77,2018-01-01,г. Санкт-Петербург,2641,0,0,,,,
79,2018-01-01,Ненецкий АО,16208,303,4,1.1,0.55,1815.18,67.87
80,2018-01-01,Ханты-Мансийский АО-Югра,235269,1070,3,12.1,0.68,635.51,51.43
81,2018-01-01,Чукотский автономный округ,0,30,0,0.0,0.01,333.33,
82,2018-01-01,Ямало-Ненецкий АО,31832,544133,24954,4.7,37.79,69.45,147.65
83,2018-01-01,Республика Крым,9,1691,41,0.047,0.1653,97.75,5222.22
