0,0,1
0,Республика Адыгея,Республика Адыгея
1,Алтайский край,Алтайский край
2,Амурская область,Амурская область
3,Архангельская область,Архангельская область
4,Астраханская область,Астраханская область
5,Республика Башкортостан,Республика Башкортостан
6,Белгородская область,Белгородская область
7,Брянская область,Брянская область
8,Республика Бурятия,Республика Бурятия
9,Республика Чечено-Ингушска,Чеченская Республика
10,Челябинская область,Челябинская область
11,Чукотский АОк,Чукотский автономный округ
12,Чувашская Республика,Чувашская Республика
13,Санкт-Петербург (горсовет),Санкт-Петербург
14,Республика Дагестан,Республика Дагестан
15,Республика Алтай,Республика Алтай
16,Респу́блика Ингуше́тия,Республика Ингушетия
17,Иркутская область,Иркутская область
18,Ивановская область,Ивановская область
19,Кабардино-Балкарская Респу,Кабардино-Балкарская Республика
20,Калининградская область,Калининградская область
21,Республика Калмыкия,Республика Калмыкия
22,Калужская область,Калужская область
23,Камчатская край,Камчатский край
24,Карачаево-Черкессия Респуб,Карачаево-Черкесская Республика
25,Республика Карелия,Республика Карелия
26,Кемеровская область,Кемеровская область
27,Хабаровский край,Хабаровский край
28,Республика Хакасия,Республика Хакасия
29,Ханты-Мансийский АОк,Ханты-Мансийский автономный округ-Югра
30,Кировская область,Кировская область
31,Республика Коми,Республика Коми
32,Костромская область,Костромская область
33,Краснодарский край,Краснодарский край
34,Красноярский край,Красноярский край
35,Курганская область,Курганская область
36,Курская область,Курская область
37,Ленинградская область,Ленинградская область
38,Липецкая область,Липецкая область
39,Магаданская область,Магаданская область
40,Республика Марий Эл,Республика Марий Эл
41,Республика Мордовия,Республика Мордовия
42,Москва,Москва
43,Московская область,Московская область
44,Мурманская область,Мурманская область
45,Ненецкий АОк,Ненецкий автономный округ
46,Нижегородская область,Нижегородская область
47,Республика Северная Осетия,Республика Северная Осетия-Алания 
48,Новгородская область,Новгородская область
49,Новосибирская область,Новосибирская область
50,Омская область,Омская область
51,Орловская область,Орловская область
52,Оренбургская область,Оренбургская область
53,Пензенская область,Пензенская область
54,Пермская край,Пермский край
55,Приморский край,Приморский край
56,Псковская область,Псковская область
57,Ростовская область,Ростовская область
58,Рязанская область,Рязанская область
59,Сахалинская область,Сахалинская область
60,Республика Саха,Республика Саха (Якутия)
61,Самарская область,Самарская область
62,Саратовская область,Саратовская область
63,Смоленская область,Смоленская область
64,Ставропольский край,Ставропольский край
65,Свердловская область,Свердловская область
66,Тамбовская область,Тамбовская область
67,Республика Татарстан,Республика Татарстан
68,Томская область,Томская область
69,Тульская область,Тульская область
70,Республика Тыва,Республика Тыва
71,Тверская область,Тверская область
72,Тюменская область,Тюменская область
73,Удмуртская Республика,Удмуртская республика
74,Ульяновская область,Ульяновская область
75,Владимирская область,Владимирская область
76,Волгоградская область,Волгоградская область
77,Вологодская область,Вологодская область
78,Воронежская область,Воронежская область
79,Ямало-Ненецкий АОк,Ямало-Ненецкий автономный округ
80,Ярославская область,Ярославская область
81,Еврейская автономная область,Еврейская автономная область
82,Забайкальский край,Забайкальский край
83,Республика Крым,Республика Крым
